Customer Name,Mobile Number ,Govt. ID,Account Number,Bank Name,IFSC Code,Initial Balance
John,9900112201,id0001,100010001,SBI,SBIN00001,5000
Robert,9900112202,id0002,100010002,SBI,SBIN00002,6000
William,9900112203,id0003,100010003,SBI,SBIN00003,11000
Charles,9900112204,id0004,100010004,SBI,SBIN00004,4000
David,9900112205,id0005,100010005,BOB,BOB00001,3000
James,9900112206,id0006,100010006,BOB,BOB00002,2000
Richard,9900112207,id0007,100010007,BOB,BOB00003,1000
Johann,9900112208,id0008,100010008,HDFC,HDFC00001,9000
George,9900112209,id0009,100010009,HDFC,HDFC00002,5000
Paul,9900112210,id0010,100010010,HDFC,HDFC00003,1000
